Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"2002";
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Emigranci wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"ogółem";"powyżej 2 miesięcy";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Emigranci wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"ogółem";"12 miesięcy i dłużej";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Emigranci wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"mężczyźni";"powyżej 2 miesięcy";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Emigranci wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"mężczyźni";"12 miesięcy i dłużej";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Emigranci wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"kobiety";"powyżej 2 miesięcy";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Emigranci wg czasu przebywania za granicą (Wymiary: Płeć; Czas przebywania za granicą)";"kobiety";"12 miesięcy i dłużej";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność ogółem (Wymiary: Płeć)";"ogółem";"";"osoba";640367;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność ogółem (Wymiary: Płeć)";"mężczyźni";"";"osoba";300716;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność ogółem (Wymiary: Płeć)";"kobiety";"";"osoba";339651;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"ogółem";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"0-19";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"20-29";"";"osoba";0;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - LUDNOŚĆ";"Ludność posiadająca własne źródła utrzymania wg grup wieku (Wymiary: Grupy wieku)";"30-39";"";"osoba";0;
