Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2002";"2011";
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"ogółem";"";"osoba";193035;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu ogółem";"";"osoba";141477;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 0-2";"";"osoba";13349;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 3-6";"";"osoba";18989;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 7-14";"";"osoba";48509;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 15-17";"";"osoba";22663;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"ogółem";"dzieci do lat 24 pozostające na utrzymaniu w wieku 18-24";"";"osoba";37967;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"ogółem";"";"osoba";132261;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu ogółem";"";"osoba";104641;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Dzieci w rodzinach wg grup wieku dzieci (Wymiary: Typ rodziny; Grupy wieku)";"małżeństwa z dziećmi";"dzieci do lat 24 pozostające na utrzymaniu w wieku 0-2";"";"osoba";9140;;
